Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Introduction,,,2018-07-12 14:25:39,2018-07-12 14:26:41,1m - 1.834s,PASSED
,,,,,,
Test Cases/Android Client/First Time User/Introduction/Verify Select Region Page,,,2018-07-12 14:25:40,2018-07-12 14:26:34,54.607s,PASSED
startApplication,,,2018-07-12 14:25:40,2018-07-12 14:26:24,44.410s,PASSED
tap,,,2018-07-12 14:26:24,2018-07-12 14:26:27,2.786s,PASSED
tap,,,2018-07-12 14:26:27,2018-07-12 14:26:29,1.803s,PASSED
tap,,,2018-07-12 14:26:29,2018-07-12 14:26:31,1.591s,PASSED
tap,,,2018-07-12 14:26:31,2018-07-12 14:26:32,1.589s,PASSED
tap,,,2018-07-12 14:26:32,2018-07-12 14:26:34,2.107s,PASSED
closeApplication,,,2018-07-12 14:26:34,2018-07-12 14:26:34,0.005s,NOT_RUN
,,,,,,
Test Cases/Android Client/First Time User/Introduction/Verify Introduction Page,,,2018-07-12 14:26:34,2018-07-12 14:26:41,6.783s,PASSED
startApplication,,,2018-07-12 14:26:35,2018-07-12 14:26:35,0.003s,NOT_RUN
tap,,,2018-07-12 14:26:35,2018-07-12 14:26:37,2.169s,PASSED
tap,,,2018-07-12 14:26:37,2018-07-12 14:26:39,2.069s,PASSED
tap,,,2018-07-12 14:26:39,2018-07-12 14:26:41,1.804s,PASSED
closeApplication,,,2018-07-12 14:26:41,2018-07-12 14:26:41,0.553s,PASSED
